passer_player_name,total_gwd_attempts,successful_gwd_attempts,pct_successful_gwd,games_with_gwd_attempt,games_won_with_gwd_attempt,pct_won_when_gwd_attempt,games_with_successful_gwd,games_won_after_successful_gwd,pct_won_after_successful_gwd
M.Bulger,35,12,0.34285714285714286,24,9,0.375,11,8,0.7272727272727273
E.Manning,100,34,0.34,65,20,0.3076923076923077,23,17,0.7391304347826086
R.Tannehill,62,21,0.3387096774193548,43,18,0.4186046511627907,19,16,0.8421052631578947
B.Roethlisberger,136,46,0.3382352941176471,78,34,0.4358974358974359,31,29,0.9354838709677419
M.Stafford,134,45,0.3358208955223881,75,30,0.4,29,26,0.896551724137931
K.Murray,51,17,0.3333333333333333,30,9,0.3,11,8,0.7272727272727273
S.Buechele,3,1,0.3333333333333333,1,0,0,0,0,
J. Fiedler,3,1,0.3333333333333333,3,1,0.3333333333333333,1,1,1
K. Collins,6,2,0.3333333333333333,5,3,0.6,2,2,1
A.McCarron,3,1,0.3333333333333333,2,0,0,0,0,
T. Couch,3,1,0.3333333333333333,2,0,0,1,0,0
K.Pickett,9,3,0.3333333333333333,6,3,0.5,3,3,1
L.Jones,6,2,0.3333333333333333,3,3,1,1,1,1
B.Allen,3,1,0.3333333333333333,3,1,0.3333333333333333,1,1,1
C.Redman,6,2,0.3333333333333333,5,1,0.2,2,1,0.5
C.Kessler,3,1,0.3333333333333333,3,0,0,1,0,0
B.Mayfield,64,21,0.328125,39,11,0.28205128205128205,15,11,0.7333333333333333
T.Dilfer,28,9,0.32142857142857145,13,4,0.3076923076923077,3,3,1
T.Tagovailoa,25,8,0.32,17,6,0.35294117647058826,6,5,0.8333333333333334
J.Flacco,119,38,0.31932773109243695,71,20,0.28169014084507044,20,16,0.8
B.Gabbert,19,6,0.3157894736842105,15,6,0.4,6,5,0.8333333333333334
R.Wilson,99,31,0.31313131313131315,69,23,0.3333333333333333,23,21,0.9130434782608695
T.Maddox,16,5,0.3125,7,3,0.42857142857142855,3,3,1
K.Collins,45,14,0.3111111111111111,34,10,0.29411764705882354,10,7,0.7
M.Cassel,42,13,0.30952380952380953,23,6,0.2608695652173913,9,4,0.4444444444444444
J.Plummer,39,12,0.3076923076923077,28,11,0.39285714285714285,8,7,0.875
T.Couch,26,8,0.3076923076923077,17,6,0.35294117647058826,6,6,1
D.Brees,114,35,0.30701754385964913,77,31,0.4025974025974026,27,22,0.8148148148148148
S.Bradford,36,11,0.3055555555555556,20,4,0.2,6,4,0.6666666666666666
T.Romo,66,20,0.30303030303030304,42,18,0.42857142857142855,16,15,0.9375
J.Skelton,10,3,0.3,7,5,0.7142857142857143,2,2,1
B.Griese,40,12,0.3,21,6,0.2857142857142857,7,4,0.5714285714285714
D.Watson,40,12,0.3,22,5,0.22727272727272727,7,4,0.5714285714285714
J.Blake,10,3,0.3,6,2,0.3333333333333333,2,1,0.5
D.Culpepper,37,11,0.2972972972972973,28,7,0.25,9,6,0.6666666666666666
M.Vick,44,13,0.29545454545454547,32,12,0.375,11,8,0.7272727272727273
D.McNabb,61,18,0.29508196721311475,42,13,0.30952380952380953,10,8,0.8
C.Wentz,48,14,0.2916666666666667,30,7,0.23333333333333334,10,6,0.6
P.Rivers,120,35,0.2916666666666667,82,20,0.24390243902439024,24,18,0.75
D.Flutie,31,9,0.2903225806451613,16,4,0.25,3,1,0.3333333333333333
K.Orton,38,11,0.2894736842105263,25,9,0.36,8,7,0.875
D.Mills,21,6,0.2857142857142857,10,4,0.4,4,4,1
C.McCoy,14,4,0.2857142857142857,10,3,0.3,2,2,1
T.Lawrence,42,12,0.2857142857142857,25,7,0.28,8,7,0.875
S.Howell,7,2,0.2857142857142857,5,0,0,2,0,0
A.Van Pelt,7,2,0.2857142857142857,4,1,0.25,1,0,0
B.Volek,7,2,0.2857142857142857,6,1,0.16666666666666666,1,1,1
J.Fiedler,21,6,0.2857142857142857,13,5,0.38461538461538464,4,4,1
R.Fitzpatrick,71,20,0.28169014084507044,47,13,0.2765957446808511,16,10,0.625
B.Hoyer,25,7,0.28,16,4,0.25,5,4,0.8
A.Smith,58,16,0.27586206896551724,39,10,0.2564102564102564,9,6,0.6666666666666666
M.Willis,11,3,0.2727272727272727,6,1,0.16666666666666666,2,1,0.5
T.Siemian,11,3,0.2727272727272727,8,2,0.25,3,2,0.6666666666666666
D.Maye,11,3,0.2727272727272727,7,2,0.2857142857142857,3,2,0.6666666666666666
S.Rosenfels,15,4,0.26666666666666666,8,1,0.125,2,1,0.5
M.Sanchez,30,8,0.26666666666666666,22,7,0.3181818181818182,7,6,0.8571428571428571
